,Job,Salary_Begin,Salary_End,Hourly,Monthly,Yearly,Company,Rating,Posted_Date,Posted_Month,Type,Benefits,Qualifications,Job Link,Job_simp,Job_seniority,Location_type,num_Qualifications,num_Benefits,Salary_Average,num_Type,Date_Posted_Complete
0,21 - Desktop Support Technician,32000.0,78000.0,1.0,0.0,0.0,PayPal,3.9,26.0,9.0,Full-time,"visioninsurance,dentalinsurance,healthinsurance,lifeinsurance","mcp,mcse,mcitp,it,computerscience,bachelor'sdegree,2years",https://www.simplyhired.com/job/pE0v8mYHrd0RXVmO53atqpCsPI2do0QN_Zucty6jiJwF1VYkxeEhrQ,Others,,Remote,7,4,55000.0,1,9.26
1,Operations Associate (entry-level),60000.0,80000.0,0.0,0.0,1.0,Databento,,,,nan,"dentalinsurance,lifeinsurance,401(k),401(k)matching,healthinsurance,disabilityinsurance","machinelearning,softwaredevelopment,lever,communicationskills,under1year,training&development,canva,organizationalskills,writingskills,quickbooks,finance,apis,figma,ats,bachelor'sdegree,sales,marketing",https://www.simplyhired.com/job/UhRG9kuufwPfvqLAMsc8AXIW_Y2a5AFXQYRZxTiv0m2oxZ2qc-KGnQ,Others,junior,Remote,17,6,70000.0,0,
2,IT Helpdesk Remote Support; Support Specialist I,35100.0,44500.0,0.0,0.0,1.0,Liberty University,3.8,,,Full-time,nan,"communicationskills,microsoftpowerpoint,microsoftoffice,1year,microsoftexcel,computerscience,associate'sdegree,microsoftword,computerskills,customerservice,softwaretroubleshooting",https://www.simplyhired.com/job/G03Xkf3I0D3Xngdurv3YiFJSYZAqXz0ahtS9RODEwVyoM4hlAS7ZXA,IT Engineer,,Remote,11,0,39800.0,1,
3,IT Support Specialist II - $5000 - Remote,,60000.0,0.0,1.0,0.0,Gold Alliance,4.7,4.0,10.0,Full-time,"paidtimeoff,on-the-jobtraining,401(k),workfromhome,healthinsurance","3years,management,azure,it,computerscience,itsupport,dns,customerservice,bachelor'sdegree,apis,softwaretroubleshooting,2years",https://www.simplyhired.com/job/5wPI9EftH0tZxN7ZF7Sj5FZAE---pTtN2ET8JW07WOirCRpNCRu5Jw,IT Engineer,,Remote,12,5,,1,10.04
4,IT Help Desk Technician,41700.0,52800.0,0.0,0.0,1.0,Advanced Computer Solutions,5.0,,,Full-time,nan,"communicationskills,mobiledevices,bachelorofscience,computerskills,english,bachelor'sdegree,softwaretroubleshooting",https://www.simplyhired.com/job/9kinGpt9ZFmjYb-B0sohOJ8qXdCTNsA91yECnJjcDEQoPv_JY4xiOA,IT Engineer,,Remote,7,0,47250.0,1,
5,QA Test Analyst (contract-to-hire),40000.0,80000.0,1.0,0.0,0.0,Nooks,,,,Full-time,nan,"communicationskills,conversionoptimization,ai,computerscience,softwaretesting,computerengineering,softwareengineering,customerservice,bachelor'sdegree",https://www.simplyhired.com/job/xDLywHLrlotpdd5ckR_p9cMcvytQ827TD7voTXyu-HjzzcHb90LT8A,Analyst,,Remote,9,0,60000.0,1,
6,Service Desk Analyst (Remote Opportunity),53100.0,67200.0,0.0,0.0,1.0,VetsEZ,4.6,5.0,10.0,Full-time,"visioninsurance,dentalinsurance,paidtimeoff,401(k),401(k)matching,healthinsurance","computerscience,writingskills,customerservice,bachelor'sdegree,english",https://www.simplyhired.com/job/QtD12QFpLqe4J6W64RTxIFqGhEy_klNfKb3dxHRTEYRAS4mwQfRsJA,Analyst,,Remote,5,6,60150.0,1,10.05
7,Junior Developer,,,,,,Jeeter,2.9,4.0,10.0,Full-time,nan,"communicationskills,visualstudio,analysisskills,visualbasic,computerscience,computerengineering,softwareengineering,apis,bachelor'sdegree",https://www.simplyhired.com/job/7WRkwfprh9J2V6McdcKzfMKuIIT0UQfSs-U8hKKymGA_BgI5eOD8TA,Software Developer,junior,Remote,9,0,,1,10.04
8,Manual Tester,55730.0,103500.0,0.0,0.0,1.0,Tista Science and Technology Corporation,3.8,,,Full-time,"paidtraining,flexiblespendingaccount,paidtimeoff,employeeassistanceprogram,lifeinsurance,paidmilitaryleave,healthsavingsaccount,401(k),militaryleave,tuitionreimbursement,401(k)matching,healthinsurance,disabilityinsurance","communicationskills,management,regressionanalysis,sql,microsoftexcel,databases,computerscience,softwaretroubleshooting,sdlc,oracle,5years,timemanagement,bachelor'sdegree,jira,agile",https://www.simplyhired.com/job/zpJ83Fr3l3Dl9krCZ5HHi8v4uIzc4zQc4_AOiuNar30FcyviJxJ-qw,Others,,Remote,15,13,79615.0,1,
9,Software Tester,70000.0,88000.0,0.0,0.0,1.0,"Tactical Edge, Inc.",,,,Full-time,"dentalinsurance,flexiblespendingaccount,visioninsurance,paidtimeoff,employeeassistanceprogram,lifeinsurance,professionaldevelopmentassistance,employeediscount,401(k),tuitionreimbursement,401(k)matching,healthinsurance,referralprogram","iat,iatlevelii,management,sql,it,1year,versionone,computerscience,softwaretesting,testautomation,ui,5years,bachelor'sdegree,secretclearance",https://www.simplyhired.com/job/h7Lugd7c0GRnG_h0xbHe3avhKYV8D2Ian-71SpR08gVoOwj49O9hLg,Others,,Remote,14,13,79000.0,1,
